16 1 1 1 1	18 1 1 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	235 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	235 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	16 1 1 1 1 	18 1 1 1 1 
17 1 1 1 1 	19 1 1 1 1 	237 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	236 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	234 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	236 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	234 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	17 1 1 1 1 	19 1 1 1 1
16 1 1 1 1 	18 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	16 1 1 1 1 	18 1 1 1 1
17 1 1 1 1 	19 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	17 1 1 1 1 	19 1 1 1 1
16 1 1 1 1 	18 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	16 1 1 1 1 	18 1 1 1 1
17 1 1 1 1 	19 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	1 1 0 1 1 	17 1 1 1 1 	19 1 1 1 1
16 1 1 1 1 	18 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	234 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	232 0 0 0 0 	16 1 1 1 1 	18 1 1 1 1
17 1 1 1 1 	19 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	17 1 1 1 1 	19 1 1 1 1
16 1 1 1 1 	18 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	16 1 1 1 1 	18 1 1 1 1
17 1 1 1 1 	19 1 1 1 1 	233 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	0 0 0 0 0 	17 1 1 1 1 	19 1 1 1 1
