2	4	1	1	1	1	1	1	1	235	0	0	0	1	1	1	1	1	1	235	0	0	0	1	1	1	1	1	1	1	2	4	
5	237	232	232	232	232	232	232	236	0	0	0	234	232	232	232	232	232	236	0	0	0	234	232	232	232	232	232	232	3	5	4	
233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	233	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	0	0	
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	4	233	0	0	0	
234	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	2	4	5	233	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	233	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	235	0	0	0	2	4	5	237	232	232	232	232	232	232	232	232	
232	232	232	232	232	232	232	232	232	232	232	232	232	232	232	236	0	0	0	3	5	4	233	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	233	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	0	0	0	1	1	1	1	1	1	1	1	1	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	4	233	0	0	0	234	232	232	232	232	232	232	232	232	232	
232	232	232	232	232	232	232	232	232	232	232	232	232	232	2	4	5	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3	5	4	233	0	1	1	1	1	1	1	1	1	1	1	235	0	0	1	1	1	
1	1	1	1	1	1	1	235	0	0	2	4	5	233	0	234	232	232	232	232	232	232	232	232	232	236	0	0	234	232	232	232	
232	232	232	232	232	232	236	0	0	3	5	4	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	2	4	5	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	3	5	4	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	2	4	5	1	1	1	1	1	1	1	235	0	0	0	1	1	1	1	1	1	235	0	0	0	1	1	
1	1	1	1	1	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
